"","GICS_INDUSTRY_GROUP","GICS_INDUSTRY_GROUP_NAME","LONG_COMPANY_NAME_REALTIME","NAME_RT"
"FIS UN Equity",4510,"Software & Services","Fidelity National Information Services Inc","FIDELITY NATIONAL INFO SERV"
"ETR UN Equity",5510,"Utilities","Entergy Corp","ENTERGY CORP"
"F UN Equity",2510,"Automobiles & Components","Ford Motor Co","FORD MOTOR CO"
"FLS UN Equity",2010,"Capital Goods","Flowserve Corp","FLOWSERVE CORP"
"EW UN Equity",3510,"Health Care Equipment & Servic","Edwards Lifesciences Corp","EDWARDS LIFESCIENCES CORP"
"FTR UW Equity",5010,"Telecommunication Services","Frontier Communications Corp","FRONTIER COMMUNICATIONS CORP"
"FISV UW Equity",4510,"Software & Services","Fiserv Inc","FISERV INC"
"FAST UW Equity",2010,"Capital Goods","Fastenal Co","FASTENAL CO"
"FB UW Equity",4510,"Software & Services","Facebook Inc","FACEBOOK INC-A"
"FMC UN Equity",1510,"Materials","FMC Corp","FMC CORP"
"FOX UW Equity",2540,"Media","Twenty-First Century Fox Inc","TWENTY-FIRST CENTURY FOX - B"
"GAS UN Equity",5510,"Utilities","AGL Resources Inc","AGL RESOURCES INC"
"FOXA UW Equity",2540,"Media","Twenty-First Century Fox Inc","TWENTY-FIRST CENTURY FOX-A"
"FCX UN Equity",1510,"Materials","Freeport-McMoRan Inc","FREEPORT-MCMORAN INC"
"FITB UW Equity",4010,"Banks","Fifth Third Bancorp","FIFTH THIRD BANCORP"
"GM UN Equity",2510,"Automobiles & Components","General Motors Co","GENERAL MOTORS CO"
"GME UN Equity",2550,"Retailing","GameStop Corp","GAMESTOP CORP-CLASS A"
"GOOG UW Equity",4510,"Software & Services","Alphabet Inc","ALPHABET INC-CL C"
"GOOGL UW Equity",4510,"Software & Services","Alphabet Inc","ALPHABET INC-CL A"
"GD UN Equity",2010,"Capital Goods","General Dynamics Corp","GENERAL DYNAMICS CORP"
"FRT UN Equity",4040,"Real Estate","Federal Realty Investment Trust","FEDERAL REALTY INVS TRUST"
"FSLR UW Equity",4530,"Semiconductors & Semiconductor","First Solar Inc","FIRST SOLAR INC"
"FL UN Equity",2550,"Retailing","Foot Locker Inc","FOOT LOCKER INC"
"FTI UN Equity",1010,"Energy","FMC Technologies Inc","FMC TECHNOLOGIES INC"
"GT UW Equity",2510,"Automobiles & Components","Goodyear Tire & Rubber Co/The","GOODYEAR TIRE & RUBBER CO"
"GPC UN Equity",2550,"Retailing","Genuine Parts Co","GENUINE PARTS CO"
"GE UN Equity",2010,"Capital Goods","General Electric Co","GENERAL ELECTRIC CO"
"FLIR UW Equity",4520,"Technology Hardware & Equipmen","FLIR Systems Inc","FLIR SYSTEMS INC"
"GGP UN Equity",4040,"Real Estate","General Growth Properties Inc","GENERAL GROWTH PROPERTIES"
"GWW UN Equity",2010,"Capital Goods","WW Grainger Inc","WW GRAINGER INC"
"HCN UN Equity",4040,"Real Estate","Welltower Inc","WELLTOWER INC"
"GPS UN Equity",2550,"Retailing","Gap Inc/The","GAP INC/THE"
"GILD UW Equity",3520,"Pharmaceuticals, Biotechnology","Gilead Sciences Inc","GILEAD SCIENCES INC"
"GRMN UW Equity",2520,"Consumer Durables & Apparel","Garmin Ltd","GARMIN LTD"
"HAL UN Equity",1010,"Energy","Halliburton Co","HALLIBURTON CO"
"HCP UN Equity",4040,"Real Estate","HCP Inc","HCP INC"
"GS UN Equity",4020,"Diversified Financials","Goldman Sachs Group Inc/The","GOLDMAN SACHS GROUP INC"
"GIS UN Equity",3020,"Food Beverage & Tobacco","General Mills Inc","GENERAL MILLS INC"
"HAR UN Equity",2520,"Consumer Durables & Apparel","Harman International Industries Inc","HARMAN INTERNATIONAL"
"HAS UW Equity",2520,"Consumer Durables & Apparel","Hasbro Inc","HASBRO INC"
"HD UN Equity",2550,"Retailing","Home Depot Inc/The","HOME DEPOT INC"
"HOT UN Equity",2530,"Consumer Services","Starwood Hotels & Resorts Worldwide Inc","STARWOOD HOTELS & RESORTS"
"GLW UN Equity",4520,"Technology Hardware & Equipmen","Corning Inc","CORNING INC"
"HBAN UW Equity",4010,"Banks","Huntington Bancshares Inc/OH","HUNTINGTON BANCSHARES INC"
"HES UN Equity",1010,"Energy","Hess Corp","HESS CORP"
"HBI UN Equity",2520,"Consumer Durables & Apparel","Hanesbrands Inc","HANESBRANDS INC"
"HCA UN Equity",3510,"Health Care Equipment & Servic","HCA Holdings Inc","HCA HOLDINGS INC"
"HP UN Equity",1010,"Energy","Helmerich & Payne Inc","HELMERICH & PAYNE"
"HPE UN Equity",4520,"Technology Hardware & Equipmen","Hewlett Packard Enterprise Co","HEWLETT PACKARD ENTERPRIS"
"HST UN Equity",4040,"Real Estate","Host Hotels & Resorts Inc","HOST HOTELS & RESORTS INC"
"HIG UN Equity",4030,"Insurance","Hartford Financial Services Group Inc/The","HARTFORD FINANCIAL SVCS GRP"
"INTU UW Equity",4510,"Software & Services","Intuit Inc","INTUIT INC"
"HPQ UN Equity",4520,"Technology Hardware & Equipmen","HP Inc","HP INC"
"HSY UN Equity",3020,"Food Beverage & Tobacco","Hershey Co/The","HERSHEY CO/THE"
"HOG UN Equity",2510,"Automobiles & Components","Harley-Davidson Inc","HARLEY-DAVIDSON INC"
"IP UN Equity",1510,"Materials","International Paper Co","INTERNATIONAL PAPER CO"
"HRB UN Equity",2530,"Consumer Services","H&R Block Inc","H&R BLOCK INC"
"HOLX UW Equity",3510,"Health Care Equipment & Servic","Hologic Inc","HOLOGIC INC"
"HUM UN Equity",3510,"Health Care Equipment & Servic","Humana Inc","HUMANA INC"
"IPG UN Equity",2540,"Media","Interpublic Group of Cos Inc/The","INTERPUBLIC GROUP OF COS INC"
"HRL UN Equity",3020,"Food Beverage & Tobacco","Hormel Foods Corp","HORMEL FOODS CORP"
"HON UN Equity",2010,"Capital Goods","Honeywell International Inc","HONEYWELL INTERNATIONAL INC"
"IBM UN Equity",4510,"Software & Services","International Business Machines Corp","INTL BUSINESS MACHINES CORP"
"ICE UN Equity",4020,"Diversified Financials","Intercontinental Exchange Inc","INTERCONTINENTAL EXCHANGE IN"
"IR UN Equity",2010,"Capital Goods","Ingersoll-Rand PLC","INGERSOLL-RAND PLC"
"HRS UN Equity",4520,"Technology Hardware & Equipmen","Harris Corp","HARRIS CORP"
"IRM UN Equity",4040,"Real Estate","Iron Mountain Inc","IRON MOUNTAIN INC"
"JBHT UW Equity",2030,"Transportation","JB Hunt Transport Services Inc","HUNT (JB) TRANSPRT SVCS INC"
"IFF UN Equity",1510,"Materials","International Flavors & Fragrances Inc","INTL FLAVORS & FRAGRANCES"
"ISRG UW Equity",3510,"Health Care Equipment & Servic","Intuitive Surgical Inc","INTUITIVE SURGICAL INC"
"HSIC UW Equity",3510,"Health Care Equipment & Servic","Henry Schein Inc","HENRY SCHEIN INC"
"ILMN UW Equity",3520,"Pharmaceuticals, Biotechnology","Illumina Inc","ILLUMINA INC"
"KEY UN Equity",4010,"Banks","KeyCorp","KEYCORP"
"KHC UW Equity",3020,"Food Beverage & Tobacco","Kraft Heinz Co/The","KRAFT HEINZ CO/THE"
"JCI UN Equity",2510,"Automobiles & Components","Johnson Controls Inc","JOHNSON CONTROLS INC"
"ITW UN Equity",2010,"Capital Goods","Illinois Tool Works Inc","ILLINOIS TOOL WORKS"
"INTC UW Equity",4530,"Semiconductors & Semiconductor","Intel Corp","INTEL CORP"
"KORS UN Equity",2520,"Consumer Durables & Apparel","Michael Kors Holdings Ltd","MICHAEL KORS HOLDINGS LTD"
"KIM UN Equity",4040,"Real Estate","Kimco Realty Corp","KIMCO REALTY CORP"
"IVZ UN Equity",4020,"Diversified Financials","Invesco Ltd","INVESCO LTD"
"JEC UN Equity",2010,"Capital Goods","Jacobs Engineering Group Inc","JACOBS ENGINEERING GROUP INC"
"LH UN Equity",3510,"Health Care Equipment & Servic","Laboratory Corp of America Holdings","LABORATORY CRP OF AMER HLDGS"
"KR UN Equity",3010,"Food & Staples Retailing","Kroger Co/The","KROGER CO"
"KLAC UW Equity",4530,"Semiconductors & Semiconductor","KLA-Tencor Corp","KLA-TENCOR CORP"
"LLL UN Equity",2010,"Capital Goods","L-3 Communications Holdings Inc","L-3 COMMUNICATIONS HOLDINGS"
"JNJ UN Equity",3520,"Pharmaceuticals, Biotechnology","Johnson & Johnson","JOHNSON & JOHNSON"
"JNPR UN Equity",4520,"Technology Hardware & Equipmen","Juniper Networks Inc","JUNIPER NETWORKS INC"
"KSS UN Equity",2550,"Retailing","Kohl's Corp","KOHLS CORP"
"KMB UN Equity",3030,"Household & Personal Products","Kimberly-Clark Corp","KIMBERLY-CLARK CORP"
"KMI UN Equity",1010,"Energy","Kinder Morgan Inc/DE","KINDER MORGAN INC"
"LLTC UW Equity",4530,"Semiconductors & Semiconductor","Linear Technology Corp","LINEAR TECHNOLOGY CORP"
"JPM UN Equity",4010,"Banks","JPMorgan Chase & Co","JPMORGAN CHASE & CO"
"KMX UN Equity",2550,"Retailing","CarMax Inc","CARMAX INC"
"KSU UN Equity",2030,"Transportation","Kansas City Southern","KANSAS CITY SOUTHERN"
"JWN UN Equity",2550,"Retailing","Nordstrom Inc","NORDSTROM INC"
"LLY UN Equity",3520,"Pharmaceuticals, Biotechnology","Eli Lilly & Co","ELI LILLY & CO"
"KO UN Equity",3020,"Food Beverage & Tobacco","Coca-Cola Co/The","COCA-COLA CO/THE"
"L UN Equity",4030,"Insurance","Loews Corp","LOEWS CORP"
"K UN Equity",3020,"Food Beverage & Tobacco","Kellogg Co","KELLOGG CO"
