"","F UN Equity","HOG UN Equity","JCI UN Equity","CMA UN Equity","ZION UW Equity","PNC UN Equity","AME UN Equity","SWK UN Equity","PWR UN Equity","RSG UN Equity","WM UN Equity","CTAS UW Equity","HAR UN Equity","LEG UN Equity","MHK UN Equity","YUM UN Equity","RCL UN Equity","MCD UN Equity","GS UN Equity","NTRS UW Equity","BLK UN Equity","TSO UN Equity","APC UN Equity","WMB UN Equity","CVS UN Equity","COST UW Equity","WFM UW Equity","HSY UN Equity","BF/B UN Equity","TAP UN Equity","ABC UN Equity","EW UN Equity","BAX UN Equity","EL UN Equity","PG UN Equity","KMB UN Equity","UNM UN Equity","XL UN Equity","MMC UN Equity","FMC UN Equity","PX UN Equity","SEE UN Equity","CMCSA UW Equity","TWX UN Equity","IPG UN Equity","ILMN UW Equity","MRK UN Equity","AGN UN Equity","EQR UN Equity","BXP UN Equity","CCI UN Equity","TSCO UW Equity","GME UN Equity","KMX UN Equity","SWKS UW Equity","MCHP UW Equity","INTC UW Equity","SYMC UW Equity","VRSN UW Equity","ATVI UW Equity","FFIV UW Equity","NTAP UW Equity","CSCO UW Equity","T UN Equity","VZ UN Equity","CTL UN Equity","R UN Equity","LUV UN Equity","UNP UN Equity","CNP UN Equity","TE UN Equity","AEP UN Equity"
"WM UN Equity",0.157846944463954,0.243194491496815,0.295437822569674,0.168653335185598,0.136638831028557,0.148819960533811,0.371398039717464,0.383495496264573,0.336333590743587,0.343799459500019,1,0.431313140969099,0.285276470667151,0.341687857404161,0.244388928478006,0.315971813976292,0.29822726415001,0.352170870406985,0.330603493735769,0.28151269509411,0.303873690054904,0.322173040921294,0.346227806450285,0.352342228054233,0.234022412805033,0.302488116404592,0.158429201249564,0.235031042110742,0.309387419362744,0.234310339529559,0.298198793443921,0.301828526598426,0.288287940351263,0.254529956139601,0.40780708453015,0.359883677117193,0.341323728978195,0.245570647958217,0.259906653060778,0.371852727902551,0.461142952193455,0.218859421356164,0.350560108192406,0.372675159496205,0.24561478623453,0.208764924857682,0.316961674712667,0.359664762711475,0.188598980708611,0.276054425697609,0.327451871956983,0.161724884693172,0.236941094032431,0.19427037728684,0.0931520412295954,0.318735337324811,0.373848861280586,0.23416978409617,0.296679893806575,0.223617479323305,0.19439479191388,0.326701725366972,0.427138669862601,0.483358661832675,0.330990565851558,0.232664544499406,0.207347364370836,0.256597439268338,0.290251678108445,0.418084102133598,0.320354656908993,0.436149937243229
"CTAS UW Equity",0.222908290168327,0.405586748513519,0.411439516477528,0.229311636326297,0.187516115837907,0.238764337970494,0.475978089024356,0.50868448279444,0.415335251262561,0.286364167011957,0.431313140969099,1,0.300416497149547,0.485183231051397,0.357428670825365,0.479927190931351,0.26987900769897,0.419206386615564,0.304116397380159,0.35898768996146,0.424974545844389,0.293180893759863,0.278568597790503,0.327421220865075,0.288429937319237,0.4323422055149,0.215955284304592,0.339594517709922,0.262072809672188,0.187343345557997,0.294699923946827,0.25366518979369,0.199178971774115,0.372254996915288,0.454801409746959,0.373782588462312,0.372693932512501,0.253717346533315,0.308063176347409,0.360988244289355,0.424322571327795,0.351770195856763,0.462468989949451,0.37474076144302,0.347405035394566,0.230689736282308,0.280706474856772,0.317347660516736,0.371650470870987,0.460744043206307,0.328014111954996,0.334302060688456,0.341643452156699,0.356289676226129,0.185350239780868,0.418203182042754,0.492803749405734,0.369777924274539,0.326691714631641,0.265100979286684,0.297828514442135,0.367347616533603,0.528949479843961,0.42326413828351,0.405181896570991,0.268298015372183,0.367853887450506,0.309782699328232,0.328427454108949,0.322509570099079,0.277448228675289,0.343274518131276
"HAR UN Equity",0.238013420334953,0.331832274334453,0.364511544986417,0.279766650021543,0.236179983346582,0.222820224546244,0.323869334413384,0.503738068606151,0.346873377865291,0.197671181211573,0.285276470667151,0.300416497149547,1,0.349093034653613,0.36656984595387,0.291061076541614,0.324609629319996,0.181492076395948,0.337682679359416,0.281963083232235,0.349888432302195,0.277746061598398,0.252029455178043,0.280264277571503,0.13846706572221,0.234244078516157,0.211653019103686,0.15050517481398,0.160564381024436,0.0991910378264066,0.147472270262861,0.140651845732829,0.142550132949323,0.323815910168713,0.214934250606449,0.164999328573904,0.332762008020516,0.230928487070818,0.217002941470821,0.300951572969787,0.326018814521126,0.302953786629222,0.355537285228838,0.336506214563569,0.361132121909437,0.152211791068073,0.142325233226967,0.167695130533141,0.303629186108227,0.366129191809768,0.344095336059657,0.190142098809809,0.24332179503925,0.277481719482587,0.174829358800277,0.335700494211711,0.322484891346203,0.338139135149746,0.229991277018413,0.198408260243023,0.211027367603626,0.322387258464183,0.349524219271641,0.294912506367815,0.255213949309908,0.266451201138447,0.300393737226664,0.21346992166207,0.309287630623336,0.211528309079802,0.234963467318299,0.176411894821921
"LEG UN Equity",0.175266364646869,0.475014923133397,0.461415529027562,0.368989228497011,0.355738635978018,0.388684949379691,0.437831847589316,0.542001713005779,0.387469550489731,0.300024753937512,0.341687857404161,0.485183231051397,0.349093034653613,1,0.441763244847698,0.449847104751699,0.337011276296633,0.361758024709206,0.32280362783455,0.423284221244723,0.432107242651218,0.27205197150582,0.300901656423564,0.339916377569215,0.365663563518374,0.315151972344362,0.253554100265134,0.253190502047601,0.267795609538063,0.178221408177396,0.235704729889368,0.214605346000622,0.210502603211971,0.375444097338299,0.436231671709154,0.36636748728979,0.444966770917872,0.331428276588214,0.346868729097837,0.365211547590729,0.406702364148373,0.44139511227409,0.44094025518344,0.386359667477528,0.333527669352173,0.160274905584736,0.288242240913355,0.264864691544756,0.446799956398384,0.508648843350939,0.290416709516712,0.340148779915512,0.338990828020563,0.364181409281366,0.196305319425398,0.408751773800641,0.440687091959587,0.29236028111069,0.295599116929954,0.277768269859294,0.238442860847809,0.338668540483257,0.498492347731299,0.391071798530545,0.333366173340671,0.28286643358961,0.441528368431262,0.331262870560548,0.355402386846129,0.285771075348781,0.239380783384231,0.277424599081194
"MHK UN Equity",0.207982223631094,0.452570661156725,0.371057564104564,0.272708555854919,0.248458405979512,0.243069829309219,0.319681560610141,0.539430586914503,0.279292063046053,0.157718766667396,0.244388928478006,0.357428670825365,0.36656984595387,0.441763244847698,1,0.367746903275922,0.342661037123353,0.215764610668657,0.282690247405273,0.235707967551069,0.330143595859444,0.221643951229925,0.152866773649249,0.20808900869768,0.187218896319494,0.312558827998716,0.217580599449492,0.112017692599805,0.143997194875984,0.102294071028314,0.130309709500122,0.126981801963002,0.0856456237636469,0.35397829647724,0.217166896481859,0.189695974545054,0.284393397069942,0.187296627162235,0.219459426573459,0.223149671343515,0.281675369853847,0.321396480631584,0.25867763475612,0.305990904743652,0.23773156631757,0.135618463801494,0.161386426932506,0.174292896750112,0.300018174123145,0.371539101013748,0.312209695172817,0.204243935143336,0.210439287447779,0.339894264370511,0.116220619008923,0.292002481310078,0.296430335998179,0.266862319483917,0.196574747951952,0.15141428224006,0.187167560231183,0.24892876312476,0.371224845574096,0.22130457549973,0.207774410584708,0.181528243439384,0.4133522677101,0.282696455660713,0.29716487062397,0.167464496238524,0.115634788795452,0.166415156848539
"YUM UN Equity",0.179293988151472,0.405456514381015,0.355932554209756,0.257668025912969,0.21239059469038,0.235769955124687,0.414320025617733,0.492798015967697,0.367445101064071,0.259731247644331,0.315971813976292,0.479927190931351,0.291061076541614,0.449847104751699,0.367746903275922,1,0.353233132442621,0.552396272662511,0.252884649847383,0.390681700614997,0.415353849869827,0.285810208125298,0.253468932002877,0.315153676995018,0.308747769716675,0.409809911604538,0.222734224856868,0.330081693411314,0.274052894473913,0.180400512203684,0.280071830592916,0.24998941922148,0.233347853362499,0.362579838127994,0.474794464596045,0.397872879761387,0.394322287802562,0.228853717918728,0.343993034808069,0.332838815587444,0.429461401206203,0.434446461259643,0.426795615880598,0.454244948364877,0.295248811925208,0.198724659284268,0.325303637568222,0.295258839155383,0.400020014364645,0.416393531070743,0.365262360687972,0.305783303437351,0.357474864251677,0.357286191285632,0.148067729670888,0.40275168089601,0.389476830036297,0.345751145504428,0.299809751573323,0.226376022320116,0.253949676630417,0.302606965695237,0.473539917215952,0.372915748662845,0.412809026960275,0.224697350926367,0.356195355754124,0.352473876141908,0.397452247784235,0.266812447500402,0.277553941563743,0.315530985592568
"RCL UN Equity",0.246873933430998,0.387305330382379,0.287490309813952,0.345532904667658,0.256079130804127,0.281118892203964,0.305164802163595,0.455075629232238,0.346780934796076,0.215658275863383,0.29822726415001,0.26987900769897,0.324609629319996,0.337011276296633,0.342661037123353,0.353233132442621,1,0.249653226129193,0.409393827720118,0.308569423394423,0.335248315477001,0.269737885909971,0.229348848749194,0.246366944900426,0.150927591568726,0.270561129360541,0.214046074729088,0.150957377456816,0.164504825582141,0.125529836896979,0.134917975288141,0.180113596561851,0.157180012489434,0.262835040690722,0.213206098345147,0.20571196642146,0.342038605935249,0.266635175540232,0.176135698016321,0.236400021576793,0.28859693293915,0.352545945645155,0.284667714879928,0.307846841369904,0.223241690938924,0.180511760373221,0.152037284687845,0.24561253783233,0.265901882389612,0.342211186454054,0.350000675716383,0.145823398851074,0.242197351761321,0.320994767748378,0.183921486331183,0.300815112011314,0.315588802823343,0.24628935375496,0.249807499333015,0.191540022133085,0.156877981833812,0.251302451651058,0.379634834510691,0.332848798178025,0.232241959395119,0.232628716015162,0.310104979436733,0.245333930537575,0.355490619837342,0.152922811892185,0.208445736348738,0.201537136329271
"MCD UN Equity",0.115711586055867,0.321645883909403,0.259179732814799,0.200177261562507,0.175265661194433,0.207316934442115,0.372273702067912,0.374316555171235,0.320493042072777,0.260128521526218,0.352170870406985,0.419206386615564,0.181492076395948,0.361758024709206,0.215764610668657,0.552396272662511,0.249653226129193,1,0.214008703400098,0.382670154080949,0.314028233183978,0.271759887851272,0.254829638225062,0.276606459621961,0.273493016440911,0.422649681964464,0.156243718900146,0.308225961093379,0.274954042937849,0.264396699614519,0.289979494515257,0.276219315253009,0.325944136904094,0.278070986291595,0.479957861773969,0.412330974617526,0.328411499050852,0.222507210893251,0.350831017444884,0.335587832557405,0.346470597473208,0.31338226061533,0.387459426825823,0.422256134675743,0.218093075484755,0.164498402104793,0.328405750737597,0.281793888241465,0.321095946091396,0.353179221621731,0.293388100524385,0.232425408065255,0.316693847429329,0.278850048395588,0.118578377687719,0.338856591253521,0.358280120379821,0.256067011615716,0.328412590906422,0.245926560675608,0.26098432535485,0.266825321128293,0.408083183930202,0.359024137603859,0.380472204724739,0.198677075203546,0.234701557190265,0.282580392234003,0.311470686846929,0.312322502210762,0.314448495717713,0.379943899287429
"GS UN Equity",0.184802645627412,0.310534075072999,0.258768007152331,0.408754447573042,0.32944117758127,0.397871443356227,0.34049725844312,0.459632070276666,0.380362638851713,0.162135443981798,0.330603493735769,0.304116397380159,0.337682679359416,0.32280362783455,0.282690247405273,0.252884649847383,0.409393827720118,0.214008703400098,1,0.502374162578936,0.410855188086008,0.289832986125778,0.319829536365816,0.340684402731598,0.149182106110888,0.237049454816104,0.236631712786089,0.10769276572821,0.127903277914168,0.120700549382375,0.151809283980087,0.194761005873499,0.180053348856872,0.220560624425141,0.217946433276371,0.208209460533962,0.478532246322543,0.365292260070731,0.217355521607473,0.317956331473712,0.353078142595721,0.2820987278151,0.354623120123117,0.31723838044204,0.294763309863795,0.200345972068503,0.191600189391285,0.273553185440064,0.267998626188062,0.39162079412692,0.461503429754288,0.118605069240084,0.292551457827204,0.297338037707065,0.188102860715018,0.319697203240588,0.299864183141926,0.33754549913445,0.350131654404425,0.249084898859275,0.229736263403568,0.310046738209759,0.419261840920416,0.397162829437263,0.255856892314581,0.319342826404122,0.258448541372216,0.202919456184848,0.327043834589145,0.280274372006077,0.24483524733343,0.270190583311385
"NTRS UW Equity",0.186852863001215,0.38691709803543,0.270748127340849,0.430658364214952,0.394388904800675,0.549364091550294,0.40635265762538,0.448918981449749,0.410921839089323,0.223238743817481,0.28151269509411,0.35898768996146,0.281963083232235,0.423284221244723,0.235707967551069,0.390681700614997,0.308569423394423,0.382670154080949,0.502374162578936,1,0.517591905151862,0.263497469082076,0.27598865835242,0.333414665105867,0.230449386486385,0.338294430586902,0.176145366241758,0.227496527494084,0.19141050213112,0.121299433696168,0.184164720838864,0.213285726244383,0.265271261943246,0.249165853883706,0.328547712156122,0.278948657602203,0.56234138767049,0.391519492880685,0.377665477581702,0.390536419917577,0.390542393187683,0.377587336762751,0.440921405433351,0.329645715715676,0.313841229866834,0.188950767723575,0.299134812730597,0.246286497637965,0.543035222146606,0.550379853354915,0.342351128273342,0.254806433646311,0.307247910117036,0.272875663898869,0.174531522862498,0.406257237524174,0.433958676429501,0.353931803162777,0.414250581284873,0.308601521832358,0.228646624044651,0.326926714935807,0.471326546367844,0.375597803459285,0.386236570028602,0.250324656772861,0.363014649295076,0.232044712842753,0.312465958614684,0.216673691547391,0.219639030711735,0.184214126539611
